Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/madeawayfordfam/status/1641594072631574528,,https://twitter.com/madeawayfordfam,1680221500000,2023-03-31 0:11:40,Congratulations bro,null,2,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/MickaelMarabou/status/1641594079246168065,,https://twitter.com/MickaelMarabou,1680221502000,2023-03-31 0:11:42,Grammy ,null,79,12,2,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Dami_lolayak/status/1641594316693860353,,https://twitter.com/Dami_lolayak,1680221559000,2023-03-31 0:12:39,Lyrically Aspect: The Timeless Album is Trash  But Just Being OverHyped. Same as Wizkid Album too….! Worst Album of Both Artist Career so far #IZALLLOVE,https://pbs.twimg.com/media/FsgdUtEXsAMI7VY?format=jpg&name=small,3,,4,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/boiesseh17043/status/1641595892481269760,,https://twitter.com/boiesseh17043,1680221934000,2023-03-31 0:18:54,"If no be OBO, bros i no do again. Let's just forget about music ",https://pbs.twimg.com/media/Fsgew51XgAINBbu?format=jpg&name=small,4,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Jiggyquado/status/1641599148565622785,,https://twitter.com/Jiggyquado,1680222711000,2023-03-31 0:31:51,The first shekpe,null,254,22,7,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/oluwatobeeloba4/status/1641600750311686144,,https://twitter.com/oluwatobeeloba4,1680223092000,2023-03-31 0:38:12,"Listen to one of the songs in the album (timeless)

@davido
 
@officialnairam1
 
@Olamide
",null,22,4,3,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/king_jeko/status/1641601477436231681,,https://twitter.com/king_jeko,1680223266000,2023-03-31 0:41:6,"After listening to davido timeless album
Menh I needed a track to cool my spirit.then I remember one wizkid song ft Drake come closer.
I swear this song is still doper than all the tracks in dis album,",null,,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/omachi_thomas/status/1641602404817809408,,https://twitter.com/omachi_thomas,1680223487000,2023-03-31 0:44:47,"All through my trip from Ibadan tonight was smooth 

OBO
Congratulations 001",null,415,28,3,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/richieweeb/status/1641603519303102466,,https://twitter.com/richieweeb,1680223753000,2023-03-31 0:49:13,001 always the GOAT ,null,45,1,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/SeanXxx2015/status/1641603613922344960,,https://twitter.com/SeanXxx2015,1680223775000,2023-03-31 0:49:35,,null,160,19,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Official9plus/status/1641604841632935936,,https://twitter.com/Official9plus,1680224068000,2023-03-31 0:54:28,Show some love  30BG #Timeless,null,2,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/I_Am_Winter/status/1641605072290213889,,https://twitter.com/I_Am_Winter,1680224123000,2023-03-31 0:55:23,Davido ,null,77,1,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/LaymoRepublic/status/1641607211448164353,,https://twitter.com/LaymoRepublic,1680224633000,2023-03-31 1:3:53,"My legend, my mentor, my love, if you cry, na him be say me I go die, if you fall, na him be say me I go lost, if you change, na him be say nothing to hope for or hold on for me, them no fit change you, salute I repeat again salute, legend lives forever ",https://pbs.twimg.com/media/FsgpDP4WwAI6bfe?format=jpg&name=small,19,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/kingjulien_15/status/1641608789999624201,,https://twitter.com/kingjulien_15,1680225009000,2023-03-31 1:10:9,"You have taken me away 001
",null,34,2,2,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/cityg4pablo/status/1641614603418255360,,https://twitter.com/cityg4pablo,1680226395000,2023-03-31 1:33:15,King  ,null,8,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/C__bank/status/1641617877856841728,,https://twitter.com/C__bank,1680227176000,2023-03-31 1:46:16,Baddest you no add this one,null,5,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/pumpervybe/status/1641617940784054276,,https://twitter.com/pumpervybe,1680227191000,2023-03-31 1:46:31,My best line currently ,https://pbs.twimg.com/ext_tw_video_thumb/1641617894747299841/pu/img/YKk_MtFEEgXqYLw_.jpg,76,3,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Footprintz4/status/1641622636496035841,,https://twitter.com/Footprintz4,1680228311000,2023-03-31 2:5:11,"@davido
 pls you need to block 
@DanielRegha
",null,2,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/iheanyiii/status/1641626851775750144,,https://twitter.com/iheanyiii,1680229316000,2023-03-31 2:21:56,"@myaccessbank
 
@access_more
 It's been almost 2 months since my transaction of 6960 has failed to be credited back to my account. You guys discouraging posting on tweets but don't reply on any other medium",null,4,,2,No,,,,
