,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Sentiment
1524,https://twitter.com/DalnimJae/status/1296828050831802368,https://twitter.com/DalnimJae,2020-08-21 15:14:35,master piece thank brandon thanks ronnie,0,0,0,The Killers,[],DalnimJae,Positive
1525,https://twitter.com/AuroraNeonTiger/status/1296828124068487168,https://twitter.com/AuroraNeonTiger,2020-08-21 15:14:53,yas,0,0,0,The Killers,[],AuroraNeonTiger,Neutral
1526,https://twitter.com/JerileeBS/status/1296828156167495681,https://twitter.com/JerileeBS,2020-08-21 15:15:0,love master piece,0,0,0,The Killers,[],JerileeBS,Positive
1527,https://twitter.com/eternvlsummer/status/1296828197183672325,https://twitter.com/eternvlsummer,2020-08-21 15:15:10,thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank thank,0,0,0,The Killers,[],eternvlsummer,Positive
1528,https://twitter.com/100mphvomit/status/1296828431452254208,https://twitter.com/100mphvomit,2020-08-21 15:16:6,reading interview members went hiatus direction seems brandon realize made legacy sound quit chasing someone elses mainly bruce springsteen last two records killers albums,0,0,2,The Killers,[],100mphvomit,Negative
1529,https://twitter.com/tk2020br/status/1296828489186803714,https://twitter.com/tk2020br,2020-08-21 15:16:20,god look back business,0,0,0,The Killers,[],tk2020br,Positive
1530,https://twitter.com/mbaff/status/1296828882432274432,https://twitter.com/mbaff,2020-08-21 15:17:54,listening really really good,0,0,1,The Killers,[],mbaff,Positive
1531,https://twitter.com/ACPGPodcast/status/1296830960181420032,https://twitter.com/ACPGPodcast,2020-08-21 15:26:9,davekeuning,0,0,0,The Killers,[],ACPGPodcast,Neutral
1532,https://twitter.com/YoSoyJuanIsaac/status/1296833255954669568,https://twitter.com/YoSoyJuanIsaac,2020-08-21 15:35:16,freddmz les digo ms,0,0,2,The Killers,[],YoSoyJuanIsaac,Neutral
1533,https://twitter.com/nadislu/status/1296836577319178240,https://twitter.com/nadislu,2020-08-21 15:48:28,thanks light life,0,0,0,The Killers,[],nadislu,Positive
